series_name,length,mean,std,acf_24,acf_168,seasonality_group
T1,2016.0,9.58531746031746,4.7405568935646905,0.26036043418548294,0.2389831562018388,weak
T119,2016.0,353.40426587301585,25.60443448185608,0.5154993504469568,0.34642628776348566,weak
T107,2016.0,171.6984126984127,214.1810753849089,0.42998897869297115,0.5891127011376885,weak
T10,2016.0,262.49107142857144,114.92280414410408,0.4678522389189582,0.593316350740746,weak
T169,2016.0,2343.8373015873017,438.7503870091228,0.8839054478654493,0.6462549617190357,weak
T134,2016.0,9532.362103174602,973.9424463091034,0.32144150522849807,0.6589016708603297,weak
T159,2016.0,1618.250992063492,492.3978557147745,0.9132170063274015,0.678945569866513,weak
T288,2016.0,252.8204365079365,132.0135744095314,0.8963486521527871,0.7016587810632768,weak
T105,2016.0,390.50099206349205,200.0272501252432,0.8464365537953957,0.7053897503249026,weak
T141,2016.0,614.4082341269841,176.29412515212053,0.8214682350637728,0.736499986911167,weak
T158,2016.0,865.6274801587301,297.1707171605204,0.8742418996122472,0.7458880492547493,weak
T30,2016.0,162.96378968253967,128.1539647025079,0.6305439739959089,0.7482725294288795,weak
T98,2016.0,393.04464285714283,114.87146885202458,0.9085118826121996,0.7627903062655954,weak
T185,2016.0,1842.141369047619,436.54219117685614,0.9029572710648422,0.7702816341480473,weak
T43,2016.0,225.59325396825398,59.48166679448203,0.8467757910973003,0.7724223936810942,weak
T70,2016.0,165.29761904761904,40.00300973654182,0.8748606464904651,0.7739556434856019,weak
T29,2016.0,492.60813492063494,138.11666628344184,0.8231845765817016,0.7801957188234393,weak
T319,2016.0,2321.4459325396824,445.06710642280325,0.5797718564717881,0.7852070579108402,weak
T149,2016.0,1537.7415674603174,376.53209666609473,0.9385492804401465,0.7873591209950733,weak
T301,2016.0,748.8794642857143,418.02628987030096,0.9020387485134603,0.79044367398827,weak
T24,2016.0,95.76934523809524,34.77941932664016,0.8967167869745726,0.7996039989150817,medium
T155,2016.0,1626.0684523809523,460.9453453346721,0.8835828684310176,0.8015037758991119,medium
T147,2016.0,352.452876984127,107.8391510614007,0.9361679222719703,0.8033037039649814,medium
T50,2016.0,326.1969246031746,113.63641376861875,0.8896801006360665,0.8084939955435738,medium
T86,2016.0,68.48660714285714,54.23989390174586,0.6579005729932522,0.8102944033920301,medium
T161,2016.0,1120.2261904761904,248.3683249328142,0.9076345792893019,0.8113240769027645,medium
T13,2016.0,199.33085317460316,62.57632768209441,0.7277321550653817,0.8148932950356823,medium
T298,2016.0,1025.3814484126983,467.95644133316904,0.8516074680379161,0.8160660859874113,medium
T96,2016.0,899.4593253968254,542.7250542002716,0.9417588600652192,0.8191403432239324,medium
T279,2016.0,1133.4260912698412,274.91759676981405,0.9380707694625763,0.8203747866768005,medium
T2,2016.0,98.38045634920636,17.10604167235972,0.878412424233742,0.8221810414687533,medium
T287,2016.0,301.7986111111111,188.90113290804797,0.9497634753991587,0.8248991782945114,medium
T208,2016.0,283.4861111111111,82.78051639365601,0.9290757538402739,0.8306179389430547,medium
T179,2016.0,2037.0704365079366,634.2454084140097,0.9303069356003112,0.831261323429253,medium
T23,2016.0,93.16220238095238,34.543134696685065,0.8417751625162441,0.8338249209442045,medium
T244,2016.0,497.0337301587302,146.40268740070795,0.9191834947706632,0.8341323656221705,medium
T202,2016.0,457.14732142857144,160.65067540074068,0.9359612179134875,0.8398390893269334,medium
T232,2016.0,1281.220238095238,284.39263656655504,0.9256904587969933,0.8400246687975936,medium
T231,2016.0,1797.7296626984128,525.049185935823,0.9437612290280986,0.8426023433135178,medium
T203,2016.0,591.4112103174604,156.8700429347826,0.9451407942964085,0.8451073681589166,medium
T316,2016.0,13505.311011904761,8595.845535792056,0.9440988304014432,0.8496856453535117,strong
T254,2016.0,578.2281746031746,181.59062005922365,0.9400897876918561,0.8521770118324622,strong
T55,2016.0,94.22470238095238,38.499762998017104,0.8934949848854928,0.8546739010739226,strong
T31,2016.0,458.31944444444446,137.61161104692238,0.9147451446236917,0.8563609164847927,strong
T181,2016.0,577.375,167.61543419316106,0.9453936308084832,0.8566357529313985,strong
T292,2016.0,546.1999007936508,332.5573426207014,0.9596223737925592,0.8574874148356404,strong
T233,2016.0,507.2375992063492,124.88287606043143,0.9500581204130952,0.8582726205847491,strong
T234,2016.0,7158.326884920635,2394.94391747461,0.9510076674320506,0.8593623959308974,strong
T56,2016.0,6060.136904761905,1704.147671656609,0.8209875465549393,0.8602835897788401,strong
T260,2016.0,580.8065476190476,168.59471772869273,0.9478752356891731,0.8643564625608925,strong
T212,2016.0,1244.439484126984,416.9052475384913,0.9112890737053165,0.865743368052379,strong
T255,2016.0,3413.2996031746034,929.1104459394538,0.9433558001848839,0.8662175850680338,strong
T239,2016.0,405.515873015873,90.2765193528199,0.9521989674453326,0.867365917429275,strong
T137,2016.0,542.1805555555555,159.71044030044249,0.9495923034697747,0.8679688372008987,strong
T94,2016.0,4294.726190476191,2313.22440657777,0.9673537119322447,0.8689911195998664,strong
T176,2016.0,7857.480158730159,2519.383280426705,0.9687351954688487,0.8697598590000116,strong
T258,2016.0,425.5520833333333,123.14852734534176,0.9426995900239271,0.8796565604143595,strong
T305,2016.0,1975.826884920635,717.5546784454458,0.9576792026993197,0.8819386253630186,strong
T188,2016.0,3959.3685515873017,865.812796277293,0.9513041490352084,0.889203451839983,strong
T3,2016.0,7.880952380952381,1.3220183154192133,-0.028038745501444147,0.9166666666666666,strong
